date	open	high	low	close	volume
Aug 28, 2015	1,086,000.00	1,086,000.00	1,073,000.00	1,081,000.00	458,340
Aug 27, 2015	1,082,000.00	1,086,000.00	1,063,000.00	1,067,000.00	491,893
Aug 26, 2015	1,068,000.00	1,074,000.00	1,050,000.00	1,067,000.00	552,568
Aug 25, 2015	1,079,000.00	1,107,000.00	1,067,000.00	1,079,000.00	389,313
Aug 24, 2015	1,088,000.00	1,115,000.00	1,033,000.00	1,079,000.00	445,868
Aug 21, 2015	1,099,000.00	1,128,000.00	1,096,000.00	1,101,000.00	405,850
Aug 20, 2015	1,163,000.00	1,171,000.00	1,130,000.00	1,139,000.00	215,507
Aug 19, 2015	1,169,000.00	1,176,000.00	1,141,000.00	1,154,000.00	400,088
Aug 18, 2015	1,118,000.00	1,141,000.00	1,117,000.00	1,131,000.00	223,321
Aug 17, 2015	1,140,000.00	1,141,000.00	1,104,000.00	1,104,000.00	225,734
Aug 13, 2015	1,153,000.00	1,153,000.00	1,138,000.00	1,140,000.00	149,454
Aug 12, 2015	1,150,000.00	1,164,000.00	1,140,000.00	1,154,000.00	222,497
Aug 11, 2015	1,151,000.00	1,179,000.00	1,148,000.00	1,157,000.00	228,498
Aug 10, 2015	1,140,000.00	1,142,000.00	1,130,000.00	1,141,000.00	114,013
Aug 7, 2015	1,120,000.00	1,137,000.00	1,115,000.00	1,136,000.00	254,834
Aug 6, 2015	1,155,000.00	1,156,000.00	1,115,000.00	1,115,000.00	400,091
Aug 5, 2015	1,182,000.00	1,182,000.00	1,158,000.00	1,159,000.00	248,883
Aug 4, 2015	1,175,000.00	1,187,000.00	1,170,000.00	1,182,000.00	188,260
Aug 3, 2015	1,184,000.00	1,184,000.00	1,166,000.00	1,175,000.00	190,332
Jul 31, 2015	1,220,000.00	1,222,000.00	1,175,000.00	1,185,000.00	370,146
Jul 30, 2015	1,258,000.00	1,260,000.00	1,215,000.00	1,215,000.00	307,189
Jul 29, 2015	1,250,000.00	1,275,000.00	1,231,000.00	1,263,000.00	272,169
Jul 28, 2015	1,224,000.00	1,251,000.00	1,219,000.00	1,230,000.00	252,036
Jul 27, 2015	1,229,000.00	1,247,000.00	1,228,000.00	1,230,000.00	198,204
Jul 24, 2015	1,227,000.00	1,238,000.00	1,224,000.00	1,229,000.00	194,869
Jul 23, 2015	1,244,000.00	1,253,000.00	1,234,000.00	1,234,000.00	198,639
Jul 22, 2015	1,244,000.00	1,260,000.00	1,235,000.00	1,253,000.00	266,557
Jul 21, 2015	1,275,000.00	1,277,000.00	1,247,000.00	1,263,000.00	193,474
Jul 20, 2015	1,291,000.00	1,304,000.00	1,273,000.00	1,275,000.00	127,872
Jul 17, 2015	1,300,000.00	1,311,000.00	1,278,000.00	1,305,000.00	296,710
Jul 16, 2015	1,223,000.00	1,287,000.00	1,223,000.00	1,282,000.00	217,793
Jul 15, 2015	1,225,000.00	1,238,000.00	1,224,000.00	1,235,000.00	166,863
Jul 14, 2015	1,265,000.00	1,270,000.00	1,221,000.00	1,225,000.00	367,936
Jul 13, 2015	1,250,000.00	1,266,000.00	1,266,000.00	1,266,000.00	153,144
Jul 10, 2015	1,257,000.00	1,266,000.00	1,248,000.00	1,259,000.00	174,652
Jul 9, 2015	1,230,000.00	1,265,000.00	1,226,000.00	1,265,000.00	273,889
Jul 8, 2015	1,240,000.00	1,251,000.00	1,232,000.00	1,239,000.00	215,303
Jul 7, 2015	1,220,000.00	1,259,000.00	1,220,000.00	1,240,000.00	236,882
Jul 6, 2015	1,253,000.00	1,260,000.00	1,223,000.00	1,230,000.00	195,947
